Subgrid_ID,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Species
N21W26 _626,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W26 _627,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W26 _673,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N21W26 _719,0,0,0,0,0,0,0,0,0,0,0,NA,SP1
N21W26 _720,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W26 _765,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N21W26 _766,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W26 _811,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W26 _812,0,0,0,0,0,0,0,0,0,0,0,NA,SP1
N21W26 _813,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W26 _814,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N21W26 _864,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N21W26 _865,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W26 _866,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N21W26 _867,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N21W26 _921,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N21W26 _924,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N21W28 _658,0,0,0,0,0,0,0,0,0,0,0,NA,SP1
N21W28 _659,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N21W28 _660,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W28 _661,0,0,0,0,0,0,0,0,0,NA,NA,NA,SP1
N21W28 _663,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W28 _705,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N21W28 _709,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N21W28 _710,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N21W28 _752,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N21W28 _799,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W28 _800,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N21W29 _653,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N21W29 _654,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N21W29 _701,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W29 _702,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N21W29 _794,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W29 _847,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W29 _848,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N21W29 _849,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
