"","Site_ID","SP1","SP1_SD","SP1_q2.5","SP1_q97.5","SP2","SP2_SD","SP2_q2.5","SP2_q97.5","SP3","SP3_SD","SP3_q2.5","SP3_q97.5"
"349","N20W27 _443","0.772302543066138","0.177440793243838","0.428201428324968","0.995434133260049","0.512180782795366","0.123987029315347","0.267308119654314","0.775071441663492","0.10304476786886","0.0873966646253932","0.0156877186808602","0.319295185160023"
"350","N20W27 _444","0.683403389214703","0.216200744945877","0.283266408894928","0.986586316599205","0.435791396275683","0.126592696226796","0.191005405197273","0.711777503167721","0.193735572742662","0.125699471976415","0.0324259230269887","0.537817017977475"
"351","N20W27 _445","0.615573200979181","0.170312087050162","0.273424631504669","0.918138480251603","0.495597161793506","0.126852169971023","0.236426494203633","0.758273688428433","0.436836092243912","0.160321145526841","0.139975314478971","0.795659194918298"
"352","N20W27 _446","0.817900318959542","0.164600737971624","0.417298053103719","0.996311799315498","0.411383796954232","0.176638929122524","0.0996989399194641","0.758884962189027","0.209450884871404","0.148913899783228","0.0313510845290343","0.603124642334586"
"353","N20W27 _447","0.751688557760513","0.183057648493746","0.36135261190661","0.989167541459164","0.44517516513797","0.145011335341536","0.16277146369161","0.722766742122106","0.239437965373209","0.141596762424924","0.0473668498364522","0.621108128874505"
"354","N20W27 _477","0.810425645934056","0.160405259878762","0.477960006297565","0.997821036851146","0.477557906015516","0.133671848584681","0.211419176502116","0.737976390133762","0.104913976363071","0.0895677427621722","0.0145846713934288","0.368633633855696"
"355","N20W27 _478","0.820651100968496","0.165843821039917","0.45712164099568","0.999805773342403","0.383452625104061","0.138245215744887","0.12888846379146","0.656149587302365","0.0774188406056411","0.0838510313853297","0.00551164131760252","0.325760169270761"
"356","N20W27 _479","0.641905248603325","0.250236942470894","0.217936898616171","0.990310122667335","0.366440971921143","0.133091932944974","0.139499164849201","0.658229880252637","0.174139968166587","0.127113863381778","0.0231139829333661","0.520707552871871"
"357","N20W27 _480","0.742864242368869","0.195775204674572","0.354203558131949","0.993800387260603","0.445039029640976","0.129620147991728","0.184155203094507","0.713132256250275","0.165157567731279","0.116450883146319","0.0276580294754775","0.501195811090642"
"358","N20W27 _481","0.925362690044396","0.09555925463823","0.658835143436808","0.999998330749287","0.333465696124721","0.180267804501159","0.0551443506369756","0.719850921432797","0.0295784688035394","0.048298524381743","0.000470012828203094","0.176561133277557"
"359","N20W27 _482","0.888737129549888","0.117544741932566","0.592750838591687","0.999835703825419","0.431591982942794","0.166703858691616","0.128580601292918","0.746093956284923","0.0573355978231757","0.0656766943999726","0.00393197103619071","0.247455387292802"
"360","N20W27 _512","0.832032410839465","0.147795913393595","0.524707602110616","0.999102025240361","0.49321852932852","0.133020561827677","0.230710336049726","0.761520657587656","0.0719428194019347","0.0716059214883188","0.00787820326653405","0.265681469020916"
"361","N20W27 _513","0.839521179042393","0.152843302676911","0.505583379523858","0.999960048192504","0.370421305226811","0.136497237244675","0.124145738355826","0.637035604975387","0.0552061065956373","0.0694630660914638","0.00246233299090718","0.267263391300012"
"362","N20W27 _514","0.739231024847421","0.225948516553051","0.296704916865511","0.999842215874949","0.313281662855086","0.135145667456838","0.0933054665754491","0.621026828081422","0.0955668452532813","0.104724173268566","0.00537359087607671","0.421320246310855"
"363","N20W27 _515","0.727631395843299","0.22497730293162","0.309974267577422","0.999381848647668","0.363503418721879","0.129733087529522","0.138078756916824","0.643375729035015","0.0944355125739553","0.0951929121399624","0.00731949525384236","0.376355505522451"
"364","N20W27 _516","0.820445796206491","0.174411232156641","0.425247992125871","0.999997258770816","0.285643476997164","0.13502664447438","0.0760002984632675","0.586450272617518","0.0512223622776889","0.0770582664399789","0.000924911310648625","0.30698413004481"
"365","N20W27 _517","0.852934444613434","0.148002570026107","0.495935106197503","0.999807669521738","0.37816451635682","0.156647453798201","0.106150273587463","0.687615358960852","0.080246492464613","0.0867395585138252","0.00569179010899942","0.338480873908568"
"366","N20W27 _547","0.906025886349948","0.103755152693264","0.651749357861009","0.999998653896239","0.367985030113175","0.153706244358992","0.104411435121609","0.669463755892971","0.0267105807271231","0.0426184224219422","0.000426984379412413","0.154428987013354"
"367","N20W27 _548","0.830938904233565","0.164954827716925","0.456535809571856","0.999990617369605","0.313132465907232","0.137561547859462","0.0874451269666965","0.615128992397185","0.0551270820914288","0.0764761960480985","0.00154050593379238","0.30056422453978"
"368","N20W27 _549","0.647058088704736","0.252421852845868","0.21865503853562","0.992211397848679","0.360534138590999","0.133810313538886","0.134173396426016","0.654620723701648","0.170930583051777","0.127413521974919","0.0218025528684266","0.520666191369459"
"369","N20W27 _550","0.624817364111801","0.234917511641489","0.222473550592812","0.978151486861219","0.397037569418559","0.129886681292726","0.165957814037949","0.680355125246846","0.19516023372909","0.128751498865124","0.0288780620694988","0.515025846515915"
"370","N20W27 _551","0.869815269795206","0.139124912405309","0.522059840648584","0.999975192315445","0.337005729824732","0.156597678606067","0.0795732695347035","0.650830964368357","0.0575180826618993","0.075146247190518","0.002301761237471","0.285527710786428"
"371","N20W27 _552","0.846388977895078","0.150940689245705","0.501278624856283","0.999983623066616","0.343569452999781","0.139267805988142","0.10414032734014","0.623492454665116","0.0520765825878726","0.0698600054288921","0.00180602478632267","0.27307945583737"
"372","N20W27 _582","0.905451680256955","0.105319100262155","0.643398924875425","0.999997832311864","0.364470983966946","0.156240146733269","0.0987243938264351","0.66704935836322","0.029152888764575","0.0455060929854448","0.000546177702093703","0.166172626637134"
"373","N20W27 _583","0.638617771126578","0.261340432316321","0.189551772181917","0.992983305918345","0.334963662427868","0.141496713467189","0.105264332095601","0.649250525878739","0.221017821850329","0.153246608096159","0.0267703415594814","0.649873011027903"
"374","N20W27 _584","0.375561618470577","0.152573813666712","0.121732380106405","0.71596196292626","0.342126091396714","0.117747361647791","0.140773585996895","0.60793068238705","0.489408562756508","0.174645122986382","0.143733322806833","0.813062963989481"
"375","N20W27 _585","0.378681558294177","0.149420638564818","0.126820580657335","0.723754457217992","0.324889318368336","0.113123045235155","0.131461316510532","0.595430368946735","0.405460410518889","0.164204370771346","0.10916604564868","0.746004184375981"
"376","N20W27 _586","0.564121514632992","0.234340599559589","0.177102305571033","0.957691328336848","0.348670289564625","0.131910592071314","0.134457258476465","0.644989810119828","0.203427328375081","0.132965037650928","0.0285745072715265","0.5136492194258"
"377","N20W27 _587","0.45326771998152","0.193667095913486","0.134892145922143","0.860768816704396","0.308894333500427","0.127563039945627","0.108466430797587","0.601221586857213","0.30893787297256","0.161763483401439","0.0566115062109935","0.668894483857599"
"378","N20W27 _617","0.567922628073617","0.23979005690282","0.161449229888679","0.964087641471941","0.357582493818707","0.140654522246581","0.119623484986938","0.66604159273294","0.332898384780239","0.174811808034731","0.0546402007235419","0.745960110808493"
"379","N20W27 _618","0.367880740297088","0.150992520632157","0.119051152823495","0.709416210235703","0.28165782980623","0.110769440618648","0.104353825096947","0.544366733279358","0.406741781656089","0.167408265416207","0.107064207973195","0.760120218400422"
"380","N20W27 _619","0.392050769788257","0.146313792933578","0.135690168250851","0.724188998631462","0.42210658749315","0.112543511317023","0.204435277558492","0.684017994902609","0.482943631951057","0.166922023893775","0.144712799862174","0.791668655652916"
"381","N20W27 _620","0.383911213691288","0.165175709374121","0.110650604464642","0.753160998055852","0.215260322256977","0.10452871886782","0.0665315489771732","0.457235000181276","0.316574115264746","0.159138321428023","0.0808030340812487","0.717044452823419"
"382","N20W27 _621","0.372034227437853","0.161754672703819","0.108319600829414","0.726495845584229","0.203419852746459","0.101011418641029","0.061317617329669","0.449033657008265","0.341228044777792","0.164447600195822","0.0926073592800341","0.741157320659231"
"383","N20W27 _622","0.351654807665997","0.160443540083176","0.0981636559383142","0.70819504504212","0.200611017827363","0.104439664245843","0.0534622901179978","0.461549135256074","0.398968389655702","0.179589603485334","0.0985694913988358","0.779344678194518"
"384","N20W28 _436","0.903070251030775","0.108160308656655","0.629038725733474","0.99996691310599","0.40249450998654","0.169580992249605","0.105489047728953","0.734827741941607","0.0421744171126263","0.0553773018720013","0.00179457418045591","0.210500170530523"
"385","N20W28 _437","0.866214466375258","0.128132468292324","0.555981253850873","0.998089761118848","0.483121148746871","0.169097471842175","0.162942581301275","0.795919692343864","0.107616291729494","0.0932971501574833","0.0141287915595525","0.382381334517978"
"386","N20W28 _438","0.880925450875211","0.121878303031316","0.580209389125815","0.999080204783965","0.463932535417736","0.176534629633101","0.136544894211917","0.794253871609516","0.0899765105821304","0.0859271867374168","0.0095927883890942","0.337291829170215"
"387","N20W28 _439","0.838116511399262","0.1472294508588","0.498032501956962","0.998411378387368","0.458500658416939","0.150002791095361","0.16686119125998","0.739354425387743","0.106548064159499","0.0926939824278402","0.013825363978504","0.384824424875303"
"388","N20W28 _440","0.778110756638509","0.146718521722665","0.464542248576034","0.977686994461802","0.557688660346898","0.13441191211704","0.282820759634812","0.802353303576131","0.203466409536945","0.118098695918158","0.0511637250220436","0.529856217334668"
"389","N20W28 _441","0.728544800897241","0.151575364367975","0.405741985296507","0.95946286344369","0.588775624980564","0.12058154916471","0.344051314649164","0.829582632118291","0.214927455473987","0.119730249717297","0.0534717058966594","0.504675359705177"
"390","N20W28 _471","0.930469215149364","0.090295477508342","0.680910403864311","0.999999950120412","0.298691252562837","0.167852401837478","0.0497727421451463","0.653681119102082","0.0213180474651745","0.0414477418493285","0.000118588632551566","0.14261535664866"
"391","N20W28 _472","0.898525191556548","0.111552996343592","0.621318012052453","0.999989583565222","0.377196653434936","0.159649943719114","0.102613072491658","0.687984948491616","0.0372425382591706","0.052743964412288","0.00114243251854654","0.191542275326827"
"392","N20W28 _473","0.908566792922056","0.105729250564295","0.636838849889232","0.999972257246403","0.390958604307182","0.176217078526179","0.0895107039314129","0.740192429450977","0.0420227502325569","0.056218126522812","0.00166163430209553","0.216208214859058"
"393","N20W28 _474","0.891972898519883","0.11657733527683","0.605839383577775","0.999971925746885","0.389063895126525","0.160445734157937","0.111204627728613","0.701469659474805","0.0441159058253033","0.0581390161925821","0.00180363924656799","0.220219307850677"
"394","N20W28 _475","0.822023214487537","0.154221142564263","0.49714625201804","0.998401365792122","0.478129898600406","0.135723318608982","0.210135796601076","0.742167184106381","0.0949019955005364","0.0847115270547554","0.0124306839252417","0.344988119803222"
"395","N20W28 _476","0.77544253546119","0.160736349063561","0.452080249101075","0.987878934299547","0.550002972244024","0.125068533994355","0.298032096769238","0.801566678058692","0.141995502750099","0.100013754423665","0.029301054695016","0.398742431635189"
"396","N20W28 _506","0.936241903506762","0.0865609401139244","0.696046834069364","0.999999999948186","0.25406472993971","0.166709042728641","0.039213205256421","0.662643817944919","0.0164101357900586","0.0409535883713765","8.95324207634866e-06","0.126068137068383"
"397","N20W28 _507","0.921812740452617","0.0950889787027334","0.662804155685497","0.999999990383638","0.296870534551415","0.156288453723328","0.061260734512546","0.632361667130404","0.0195435759084088","0.0398709513818082","6.58973458110277e-05","0.137138868116627"
